Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Cluster,Cluster Label
23,84,1,0,0,7,73,1,1,0,1,2,1,2,3,0,1,2,1,67,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
19,64,1,2,0,8,59,1,1,2,2,2,1,0,4,0,0,1,0,61,1,Siswa Berprestasi di Tengah Keterbatasan Ekonomi
24,98,2,2,1,7,91,2,1,2,2,2,1,1,4,0,2,2,1,74,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
29,89,1,2,1,8,98,2,1,1,2,2,1,0,4,0,1,1,1,71,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
19,92,2,2,1,6,65,2,1,3,2,0,1,1,4,0,0,2,0,70,3,Siswa Konsisten dengan Dukungan Keluarga dan Lingkungan Baik
19,88,2,2,1,8,89,2,1,3,2,2,1,2,3,0,2,2,1,71,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
29,84,2,1,1,7,68,1,1,1,1,2,0,1,2,0,1,1,1,67,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
25,78,1,0,1,6,50,2,1,1,0,0,1,0,2,0,1,0,1,66,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
17,94,2,0,0,6,80,0,1,0,2,1,0,1,1,0,0,2,1,69,0,Siswa dengan Keseimbangan Belajar dan Dukungan Moderat
23,98,2,2,1,8,71,2,1,0,0,0,1,2,5,0,1,1,1,72,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
17,80,1,0,0,8,88,2,0,4,2,0,0,1,4,0,0,1,1,68,0,
17,97,2,0,1,6,87,1,1,2,1,0,0,1,2,0,1,2,1,71,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
21,83,2,2,1,8,97,1,1,2,2,2,1,2,4,0,1,2,1,70,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
9,82,2,2,1,8,72,2,1,2,2,2,0,2,3,0,2,2,1,66,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
10,78,2,0,1,8,74,2,1,1,1,2,0,1,4,0,2,2,1,65,2,Siswa dengan Fokus Akademik dan Dukungan Keluarga Rendah
